บริษัท ออโตคอร์ป โฮลดิ้ง จำกัด และบริษัทย่อย,,,,,,,,,,,,,,,
งบกระแสเงินสด,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,งบการเงินรวม,,,,งบการเงินเฉพาะกิจการ,,
,,,,,,,,,,,,,,,สำหรับรอบระยะเวลา
,,,,,,,,,,,,,,,บัญชีตั้งแต่วันที่
,,,,,,,,,,,,,สำหรับปีสิ้นสุด,,12 มีนาคม 2558
,,,,,,,,,สำหรับปีสิ้นสุดวันที่ 31 ธันวาคม ,,,,วันที่ 31 ธันวาคม ,,ถึงวันที่ 31 ธันวาคม
,,,,,,,,,2559,,2558,,2559,,2558
,,,,,,,,,,,(ดูหมายเหตุ 1),,,,
,,,,,,,,,,,(ปรับปรุงใหม่),,,,
,,,,,,,,,(บาท) ,,,,,,
กระแสเงินสดจากกิจกรรมดำเนินงาน,,,,,,,,,,,,,,,
ชำระคืนเงินกู้ยืมระยะสั้นจากบุคคลหรือที่,,,,,,,,,,,,,,,
,เกี่ยวข้องกัน,,,,,,,,-106837342,,-238600000,,0,,-138600000
เงินสดรับจากการออกหุ้นสามัญ,,,,,,,,,0,,24500000,,0,,24500000
ชำระคืนเงินกู้ยืมระยะยาวจากสถาบันการเงิน,,,,,,,,,-17500000,,0,,0,,0
เงินสดสุทธิได้มาจาก (ใช้ไปใน) กิจกรรมจัดหาเงิน,,,,,,,,,-63053815,,-123792290,,-7000757,,23410441
,,,,,,,,,,,,,,,
เงินสดและรายการเทียบเท่าเงินสดเพิ่มขึ้น (ลดลง) สุทธิ,,,,,,,,,-66840906,,-50230373,,11811356,,-106967385
เงินสดและรายการเทียบเท่าเงินสด ณ วันที่ 1 มกราคม,,,,,,,,,182831076,,84667910,,-106467385,,500000
เงินสดและรายการเทียบเท่าเงินสด ณ วันที่ 31 ธันวาคม,,,,,,,6,,115990170,,34437537,,-94656029,,-106467385
,,,,,,,,,,,,,,,
รายการที่ไม่ใช่เงินสด,,,,,,,,,,,,,,,
เจ้าหนี้จากการซื้ออาคารและอุปกรณ์,,,,,,,,,371620,,13030315,,0,,0
,,,,,,,,,57752999,,131433612,,-112296198,,-121470858
